,Drug-Gene Pair Cluster,Dependency Path Cluster
317,26.0,0.0
318,10.0,87.0
319,18.0,0.0
320,17.0,0.0
321,18.0,0.0
322,23.0,67.0
323,7.0,85.0
324,18.0,97.0
325,8.0,77.0
326,19.0,102.0
327,15.0,52.0
328,6.0,90.0
329,23.0,16.0
330,8.0,0.0
331,18.0,85.0
332,25.0,0.0
333,23.0,0.0
334,0.0,0.0
335,23.0,0.0
336,9.0,0.0
337,22.0,0.0
338,0.0,1.0
339,14.0,124.0
340,0.0,123.0
341,18.0,58.0
342,13.0,0.0
343,26.0,0.0
344,23.0,0.0
345,2.0,0.0
346,5.0,0.0
347,20.0,0.0
348,24.0,0.0
349,4.0,0.0
350,14.0,0.0
351,18.0,24.0
352,22.0,73.0
353,22.0,45.0
354,23.0,4.0
355,2.0,24.0
356,14.0,0.0
357,28.0,95.0
358,21.0,120.0
359,18.0,0.0
360,18.0,6.0
361,26.0,9.0
362,2.0,0.0
363,14.0,120.0
364,23.0,11.0
365,0.0,11.0
366,19.0,120.0
367,14.0,98.0
368,2.0,28.0
369,18.0,0.0
370,2.0,61.0
371,23.0,0.0
372,27.0,0.0
373,2.0,60.0
374,0.0,60.0
375,0.0,24.0
376,24.0,108.0
377,27.0,0.0
378,26.0,86.0
379,1.0,86.0
380,2.0,86.0
381,23.0,119.0
382,18.0,86.0
383,2.0,86.0
384,10.0,86.0
385,24.0,120.0
386,14.0,26.0
387,10.0,86.0
388,18.0,26.0
389,19.0,20.0
390,14.0,86.0
391,1.0,86.0
392,14.0,0.0
393,2.0,114.0
394,14.0,57.0
395,6.0,57.0
396,22.0,56.0
397,6.0,0.0
398,18.0,0.0
399,14.0,0.0
400,23.0,0.0
401,26.0,23.0
402,1.0,12.0
403,28.0,7.0
404,0.0,0.0
405,14.0,0.0
406,0.0,0.0
407,15.0,0.0
408,14.0,77.0
409,2.0,55.0
410,0.0,0.0
411,14.0,53.0
412,0.0,53.0
413,21.0,17.0
414,23.0,27.0
415,28.0,53.0
416,18.0,53.0
417,9.0,98.0
418,9.0,53.0
419,4.0,53.0
420,14.0,98.0
421,28.0,96.0
422,28.0,50.0
423,2.0,53.0
424,15.0,88.0
425,18.0,53.0
426,2.0,53.0
427,26.0,116.0
428,2.0,17.0
429,29.0,20.0
430,3.0,53.0
431,18.0,88.0
432,23.0,53.0
433,26.0,53.0
434,18.0,13.0
435,23.0,53.0
436,10.0,88.0
437,2.0,57.0
438,17.0,53.0
439,18.0,107.0
440,14.0,65.0
441,22.0,53.0
442,15.0,53.0
443,17.0,0.0
444,2.0,73.0
445,28.0,27.0
446,23.0,29.0
447,2.0,19.0
448,9.0,35.0
449,26.0,96.0
450,23.0,15.0
451,14.0,29.0
452,15.0,5.0
453,2.0,71.0
454,23.0,105.0
455,16.0,123.0
456,1.0,29.0
457,25.0,124.0
458,26.0,73.0
459,8.0,73.0
460,2.0,116.0
461,22.0,19.0
462,14.0,73.0
463,15.0,84.0
464,14.0,116.0
465,23.0,76.0
466,14.0,54.0
467,28.0,29.0
468,0.0,78.0
469,1.0,79.0
470,18.0,65.0
471,14.0,113.0
472,0.0,113.0
473,0.0,7.0
474,7.0,73.0
475,10.0,64.0
476,11.0,91.0
477,6.0,91.0
478,23.0,100.0
479,0.0,76.0
480,2.0,19.0
481,26.0,0.0
482,23.0,20.0
483,14.0,115.0
484,23.0,85.0
485,14.0,89.0
